source_id,source_type,source,title_or_use,claim_supported,evidence_class,notes
S009-01,prior-run,Epoch 1 RUN-001/EV-001,MHA Dutchess context,An organization-sponsored low-disruption text benefit is a prioritization lead,founder-supplied,Not transferability or efficacy proof
S009-02,prior-run,Epoch 1 RUN-005/RUN-006/RUN-008,Care-delivery registry and narrative reports,Workforce capacity retention emotional load and workflow constraints recur across care settings,prior-run synthesis,Not DSP-specific demand evidence
S009-03,public,Mental Health America,Serving an Underserved Population: Peer Support Disability and Mental Health,MHA publicly connects disability mental health access and support roles,public contextual,Page identifies wellness/support advocacy but not a DSP workforce statistic
S009-04,public,U.S. Department of Labor ODEP,Direct Support Professionals (DSPs),DSPs support people with disabilities through community participation ADLs employment assistance and emotional support,public primary,Role definition and workforce shortage
S009-05,public,HHS ASPE,Definitions and Occupational Characteristics of Direct Support Professionals,DSP role spans supportive services for people with IDD and related LTSS contexts,public primary,Search result and linked report; direct page access was restricted
S009-06,public,NADSP,Keynote Presentations,DSP employers face turnover morale recruitment and retention problems,public sector source,Includes a reported 80 percent workforce-share figure; retain as source claim not independently generalized
S009-07,public,University of New Hampshire START Services,DSP Course,DSP training spans IDD mental health trauma emotional regulation wellness and stress reduction,public education source,Shows role-specific training context and language
S009-08,public,North Carolina DHHS,DSP Workforce Initiative,States are investing in recruitment retention training mentorship and career pathways for DSPs,public government source,Illustrates organizational/workforce owner context
S009-09,public,PMC article,The Self-Perpetuating Turnover Cycle,Frontline supervisors and DSPs describe turnover burnout and lack of support,public research source,Search result accessible; direct page was CAPTCHA-limited
S009-10,public,DOL/NADSP/UNH synthesis,Role and language comparison,DSP language emphasizes person-centered support autonomy community inclusion safety and career development,agent synthesis,Inference from cited public sources
