source_id,infl_id,source_url,source_kind,verification,observed_public_fact,accessed_date
SRC-007-001,INFL-001,https://www.beckershospitalreview.com/uncategorized/about-becker-s-hospital-review/,official about page,page-opened,Becker's describes hospital and health-system news for high-level leaders and provides workforce HR nursing and care-coordination sections,2026-07-15
SRC-007-002,INFL-002,https://www.beckershospitalreview.com/uncategorized/about-becker-s-hospital-review/,official editorial staff page,page-opened,The page names Molly Gamble as editor-in-chief/editorial leader for Becker's Hospital Review,2026-07-15
SRC-007-003,INFL-003,https://www.healthcaredive.com/about/,official about page,page-opened,Healthcare Dive describes journalism and newsletters covering health IT policy regulation value-based care and payer-provider partnerships,2026-07-15
SRC-007-004,INFL-004,https://www.fiercehealthcare.com/fiercehealthcarecom/about-us,official about page,page-opened,Fierce describes coverage at the intersection of healthcare business and policy across hospital practice management health IT and finance brands,2026-07-15
SRC-007-005,INFL-005,https://www.statnews.com/about/,official about page,page-opened,STAT describes journalism on health tech business hospitals insurance medicine science and public health with newsletters podcasts and events,2026-07-15
SRC-007-006,INFL-006,https://kffhealthnews.org/about-us,official about page,page-opened,KFF Health News describes a national newsroom covering how hospitals doctors nurses insurers governments and consumers experience the system,2026-07-15
SRC-007-007,INFL-007,https://medcitynews.com/about-us/,official about page,page-opened,MedCity describes healthcare innovation coverage for healthcare leaders and industry observers across technology policy and value-based care,2026-07-15
SRC-007-008,INFL-008,https://www.healthleadersmedia.com/about,official about page,page-opened,HealthLeaders describes content for hospital and health-system CEOs finance clinical and technology leaders,2026-07-15
SRC-007-009,INFL-009,https://www.chiefhealthcareexecutive.com/about,official about page,page-opened,Chief Healthcare Executive describes news features and analysis for leaders focused on patients staff and organizational performance,2026-07-15
SRC-007-010,INFL-010,https://www.aha.org/telling-the-hospital-story/workforce-podcasts,official series page,page-opened,AHA workforce podcasts cover hospital workforce strategies behavioral healthcare workplace violence nursing pipelines and health-system leaders,2026-07-15
SRC-007-011,INFL-011,https://trustees.aha.org/advancing-health-podcast,official podcast page,page-opened,AHA describes Advancing Health as conversations with hospital and health-system leaders and frontline staff about patients caregivers and communities,2026-07-15
SRC-007-012,INFL-012,https://health-affairs.org/about/,official about page,page-opened,Health Affairs describes a peer-reviewed health-policy forum reaching government health-industry leaders advocates scholars and health-policy readers,2026-07-15
SRC-007-013,INFL-013,https://www.nejmgroup.org/discover-our-products/lead/nejm-catalyst/,official product page,page-opened,NEJM Catalyst brings health-care executives clinical leaders and clinicians together around practical care-delivery improvement,2026-07-15
SRC-007-014,INFL-014,https://www.axios.com/authors/treed,official author page,search-snippet-only,Axios identifies Tina Reed as author of the daily Axios Vitals newsletter covering health-care politics policy and business,2026-07-15
SRC-007-015,INFL-015,https://behavioral-health-business.castos.com/,official podcast page,page-opened,Behavioral Health Business describes coverage of mental health substance use autism IDD eating disorders and more,2026-07-15
SRC-007-016,INFL-016,https://behavioral-health-business.castos.com/,official podcast/editor page,page-opened,The Perspectives page identifies Laura Lovett as BHB senior editor in episodes with behavioral-health operators,2026-07-15
SRC-007-017,INFL-017,https://psychiatryonline.org/pn/about,official about page,page-opened,Psychiatric News describes a media platform for psychiatrists physicians health professionals and the public with news podcasts newsletters and social channels,2026-07-15
SRC-007-018,INFL-018,https://psychiatryonline.org/ps/about,official journal/podcast page,page-opened,Psychiatric Services describes interdisciplinary research on community-based treatment collaborative care and mental-health service delivery,2026-07-15
SRC-007-019,INFL-019,https://www.thenationalcouncil.org/the-state-of-mental-wellbeing/,official podcast page,page-opened,National Council podcast features leaders practitioners and advocates working to strengthen community mental wellbeing and CCBHCs,2026-07-15
SRC-007-020,INFL-020,https://www.triadhq.com/about,official about page,page-opened,Triad describes Behavioral Health Today as a weekly clinical-perspective podcast with a 225K-plus professional community,2026-07-15
SRC-007-021,INFL-021,https://www.turnbhs.org/news/turn-behavioral-health-services-launches-new-podcast-the-behavioral-health-brief/,official announcement,page-opened,TURN says its Behavioral Health Brief targets behavioral-health professionals community leaders philanthropists and advocates,2026-07-15
SRC-007-022,INFL-022,https://podcasts.apple.com/us/podcast/the-horizon-line-stories-and-insights-into-mental/id1809835191,public show page,search-snippet-only,The Horizon Line describes episodes on prevention addiction recovery crisis services trauma-informed care and community mental-health resources,2026-07-15
SRC-007-023,INFL-023,https://www.nachc.org/newsroom/nachc-newsroom/,official newsroom page,page-opened,NACHC describes its newsroom as a resource for journalists and people interested in community health centers and affordable primary care,2026-07-15
SRC-007-024,INFL-024,https://www.fqhc.org/blog?category=Podcast,official blog/podcast page,page-opened,FQHC Associates content discusses FQHC leadership challenges financial sustainability and workforce strategy,2026-07-15
SRC-007-025,INFL-025,https://www.chcpodcast.com/,official podcast page,page-opened,The Community Health Center Podcast provides a platform for community health centers to discuss current trends including workforce development,2026-07-15
SRC-007-026,INFL-026,https://www.ruralhealth.us/publications/nrha-newsletters,official newsletter page,page-opened,NRHA describes Rural Roundup and NRHA Today as recurring newsletters for rural-health stakeholders and professionals,2026-07-15
SRC-007-027,INFL-027,https://www.rwhc.com/News/Eye-on-Health-Newsletter,official newsletter page,page-opened,RWHC publishes Eye on Health with rural-health leadership and community-care topics,2026-07-15
SRC-007-028,INFL-028,https://homehealthcarenews.com/podcast/,official podcast page,page-opened,Home Health Care News publishes Disrupt episodes on home-health labor operations policy technology and provider strategy,2026-07-15
