source_id,source_title,source_url,publisher,source_date,retrieved_date,source_type,scope_or_locator,observable_fact,caveat
SRC-001,CCBHC Locator: List of CCBHCs by State,https://www.thenationalcouncil.org/program/ccbhc-success-center/ccbhc-locator/,National Council for Mental Wellbeing,2026-07-15,2026-07-15,sector locator,"Current locator page","The locator states that more than 500 CCBHCs and CCBHC grantees operate in 46 states plus DC and Puerto Rico.","Locator context does not itself establish an individual organization's current designation or buyer fit."
SRC-002,List of Certified Community Behavioral Health Clinics (CCBHCs) By State,https://www.thenationalcouncil.org/wp-content/uploads/2025/02/CCBHC-full-list-by-state-for-website_Jan-2024.pdf,National Council for Mental Wellbeing,2024-01,2026-07-15,sector directory,"PDF pages 16, 19, 42, 47–48","Lists organization names by state and marks January 2024 state-certified/demonstration and grant status.","A January 2024 directory is a discovery source; current certification, operations, ownership, and fit require fresh first-party verification."
SRC-003,Illinois behavioral-health workforce shortage testimony,https://www.ilga.gov/house/committees/103Documents/HMEH/Book%20-%20Behavioral%20Health%20Workforce%20Shortage%202-23-24.pdf,Illinois General Assembly,2024-02-23,2026-07-15,government record,"Centerstone context","Describes Centerstone as a multi-state nonprofit behavioral-health system and notes a workforce-resilience program.","Historic public workforce context; it does not establish current need, authority, or purchase intent."
SRC-004,Santé staff wellness and restorative practices,https://thesantegroup.org/sante-staff-wellness-restorative-practices/,Santé Group,unknown,2026-07-15,first-party public page,"Santé Group context","Describes organization-level staff-wellbeing and restorative-practice work.","Existing support practices may make a future offer complementary or redundant."
SRC-005,Gulf Coast Center Clinical Academy RFP,https://gulfcoastcenter.org/wp-content/uploads/2026/05/RFP-GCC-Clinical-Academy.pdf,Gulf Coast Center,2026-05,2026-07-15,first-party procurement document,"Gulf Coast Center context","Describes a workforce-development scope including employee wellness, leadership development, and workforce readiness.","An RFP is a context signal; it is not an invitation, buyer intent, or authorization to engage."
SRC-006,Work flexibility to support wellbeing,https://toolkit.illinoisbhwc.org/toolkit-article/work-flexibility-to-support-well-being/,Illinois Behavioral Health Workforce Center,unknown,2026-07-15,sector spotlight,"Heritage Behavioral Health Center context","Documents a staff-wellness initiative and workforce-culture rationale at Heritage.","A reported initiative does not establish a current procurement need."
SRC-007,SERV University case study,https://www.thenationalcouncil.org/serv-university/,National Council for Mental Wellbeing,unknown,2026-07-15,sector case study,"SERV context","Identifies SERV as a nonprofit behavioral-health organization with a CCBHC clinic and describes workforce-development work.","Case-study evidence is contextual and may be dated."
SRC-008,NYC Health + Hospitals behavioral-health workforce announcement,https://www.nychealthandhospitals.org/pressrelease/nyc-health-hospitals-announces-its-lowest-behavioral-health-staff-turnover-and-vacancy-rates-in-recent-history/,NYC Health + Hospitals,2026,2026-07-15,first-party press release,"NYC Health + Hospitals context","Makes behavioral-health retention a visible strategic topic.","Large public-system complexity makes it a comparator, not a presumed early target."
SRC-009,Certified Community Behavioral Health Clinics (CCBHCs),https://www.samhsa.gov/communities/certified-community-behavioral-health-clinics,SAMHSA,2023-04-24,2026-07-15,government program page,"CCBHC definition","Describes the CCBHC model's coordinated comprehensive behavioral-health and care-coordination requirements.","Defines category; it does not name or qualify individual organizations."
SRC-010,Health Centers,https://data.hrsa.gov/topics/health-centers,HRSA,2026-07-14,2026-07-15,government data portal,"SEG-003 comparison context","Describes HRSA-funded health centers as community-based providers of medical, dental, behavioral, and other health services.","Provides segment context, not individual organization validation."
SRC-011,Comparison of community-based providers,https://www.nachc.org/resource/comparison-of-health-centers-and-certified-community-behavioral-health-clinics/,National Association of Community Health Centers,2025-09-30,2026-07-15,sector comparison,"SEG-001 comparison context","Compares CHCs, look-alikes, rural clinics, CMHCs, and CCBHCs across services, requirements, workforce, and reimbursement context.","Supports segment design only; it does not validate a target account."
SRC-012,Centerstone Executive Leadership,https://centerstone.org/about/leadership/,Centerstone,unknown,2026-07-15,first-party leadership page,"Centerstone buyer-role context","Publishes CEO; CFO; CHRO; CIO; COO; CMO; compliance; legal; strategy; and service-line leadership titles.","Published leadership titles show possible functions; they do not establish a purchase path or individual authority."
SRC-013,Gulf Coast Center Leadership,https://gulfcoastcenter.org/leadership/,Gulf Coast Center,unknown,2026-07-15,first-party leadership page,"Gulf Coast buyer-role context","Publishes executive and executive-management-team structure.","The page is a role-structure cue; validate actual functions and procurement path in later approved research."
SRC-014,Santé's Leadership,https://thesantegroup.org/about-us/santes-leadership/,Santé Group,unknown,2026-07-15,first-party leadership page,"Santé buyer-role context","Publishes CEO and operations/crisis-service leadership context.","Leadership structure does not demonstrate a need, ownership, or intent."
SRC-015,SERV Leadership and Boards,https://www.servbhs.org/about-serv/serv-leadership/board-of-directors.html,SERV Behavioral Health System,unknown,2026-07-15,first-party leadership page,"SERV buyer-role context","Publishes president/CEO and board structure.","The page does not reveal an employee-support budget or procurement process."
SRC-016,El Rio Health Leadership and Board,https://elrio.org/about/leadership/,El Rio Health,unknown,2026-07-15,first-party leadership page,"SEG-003 buyer-role comparison","Publishes VP Behavioral Health and Integration Services; VP Medical Services; and VP Grants and Research titles.","A FQHC comparison example only; El Rio is not added as an RUN-005 target account without a separately approved scope."
