node_id,relationship,node_type,node_name,linked_subjects,relationship_to_center,public_evidence_source_ids,priority_tier,why_researchable,unknowns
MAP-001,center,segment,Care-delivery organizations,SEG-001,"Organizations delivering patient client or community care through time-constrained staff workflows",INT-001,center,"The market family being mapped",Exact subsegment boundary and common buyer context
MAP-002,under,segment,Community behavioral-health providers,"SEG-002; ICP-019","Direct child segment providing mental health substance-use crisis recovery or integrated behavioral-health services",INT-001;R6-SRC-012;R6-SRC-013,high,"Closest existing segment to GH-004 and current Epoch 1 evidence",Organization size workforce owner and procurement path
MAP-003,under,segment,Certified Community Behavioral Health Clinics (CCBHCs),"SEG-002; ICP-019","Direct care-delivery form with comprehensive behavioral-health access crisis care and care coordination",R6-SRC-001;R6-SRC-002,high,"Defined service model with visible staffing governance care-coordination and payment context",Current designation by organization workforce pain and buyer fit
MAP-004,under,segment,FQHCs with integrated behavioral health,"SEG-003; ICP-019","Direct care-delivery context combining primary care and behavioral-health services",INT-001;R6-SRC-003;R6-SRC-014,high,"Closest comparison branch to community behavioral health with distinct governance and workflow",Degree of behavioral-health integration and owner for staff support
MAP-005,under,segment,HRSA-funded community health centers / FQHCs,SEG-003,"Community-based clinics providing medical dental behavioral vision and other care",R6-SRC-003;R6-SRC-014,high,"Large public provider universe with behavioral-health and social-work roles",Integrated-care maturity local workforce context and budget owner
MAP-006,under,segment,Rural health clinics,SEG-001,"Rural primary-care clinics operating in shortage areas with defined staffing requirements",R6-SRC-004;R6-SRC-005,medium,"Direct care setting with constrained staffing and a distinct rural operating context",Workforce size and practical delivery access
MAP-007,under,segment,Hospitals and health systems,"ICP-006", "Direct acute and specialty care organizations with large employed workforces",R6-SRC-015;R6-SRC-028,medium,"Large care-delivery employers with public workforce and operating pressure",Procurement complexity and relevance to a low-disruption program
MAP-008,under,segment,Primary-care practices and groups,SEG-001,"Direct providers participating in coordinated care and accountable-care arrangements",R6-SRC-004,medium,"Potential bridge between behavioral health and broader care delivery",Practice size behavioral-health staffing and buying group
MAP-009,under,segment,Home health agencies,SEG-001,"Direct providers delivering skilled nursing and therapeutic services in patients homes",R6-SRC-006;R6-SRC-008,high,"Distributed time-constrained workforce with public provider data and care-plan workflows",Workforce stress signal and organization-level owner
MAP-010,under,segment,Hospice providers,SEG-001,"Direct end-of-life care providers across home and facility settings",R6-SRC-008;R6-SRC-005,high,"High-intensity care context with interdisciplinary staff and emotional labor",Whether stress-support need is visible and nonclinical program fit
MAP-011,under,segment,Skilled nursing facilities,SEG-001,"Direct short-term rehabilitation and skilled nursing setting",R6-SRC-007;R6-SRC-008,medium,"Care-delivery environment with continuous staff workflows and quality oversight",Staff mix ownership and implementation constraints
MAP-012,under,segment,Long-term and post-acute care providers,SEG-001,"Direct continuum including skilled nursing assisted living and related providers",R6-SRC-017;R6-SRC-016,medium,"Adjacent care continuum with established provider associations and workforce concerns",Segment distinction from SNF and aging-services pathways
MAP-013,under,segment,Inpatient rehabilitation facilities,SEG-001,"Direct Medicare-recognized care setting within post-acute delivery",R6-SRC-005;R6-SRC-008,low,"Clear provider category but likely more specialized and procurement-heavy",Organization-level pain and program fit
MAP-014,under,segment,Dialysis facilities,SEG-001,"Direct recurring clinical-care setting listed among Medicare provider types",R6-SRC-008;R6-SRC-005,low,"Recurring staff-patient workflow may create a distinct stress context",Workforce context and relevance to MindfulText
MAP-015,under,segment,Opioid treatment programs,SEG-002,"Direct behavioral-health and substance-use treatment setting",R6-SRC-005;R6-SRC-021,high,"Closely related to behavioral health with specialized operating and accreditation context",Overlap with CCBHCs and organization-level buyer
MAP-016,under,segment,Public health departments,SEG-001,"Community care and health infrastructure organizations that link or provide care",R6-SRC-009;R6-SRC-010,medium,"Directly connected to community access workforce and public-health partnerships",Whether they adopt programs or mainly coordinate and fund
MAP-017,under,segment,Tribal and Indian health providers,SEG-001,"Direct federal tribal and urban Indian health delivery system",R6-SRC-010,medium,"Distinct care system with culturally specific governance and workforce context",Appropriate entry point and local authority structure
MAP-018,under,segment,Veterans Health Administration,VHA,"Integrated care-delivery system with medical centers and outpatient sites",R6-SRC-011,low,"Large comparison system with visible workforce and mental-health scope",Procurement complexity and transferability to smaller providers
MAP-019,under,segment,Community-based social-service and child-welfare providers,"SEG-002", "Directly adjacent community organizations that may deliver social or recovery supports around care",R6-SRC-013;R6-SRC-025,medium,"Potentially relevant where staff support and care coordination overlap",Whether organization is care-delivery buyer or channel partner
MAP-020,under,segment,Private clinical and therapy practices,"ICP-013", "Direct clinical social-work and behavioral-health practice setting",R6-SRC-019,medium,"Smaller buying unit than institutional providers and closely related to LCSW use cases",Practice owner need payment behavior and clinical-boundary fit
MAP-021,under,organization,Centerstone,"ACC-001; SEG-002", "Representative existing community behavioral-health organization in the account registry",INT-002;R6-SRC-012,medium,"Existing public workforce and leadership evidence makes it a comparison seed",Current need buyer group and procurement route
MAP-022,under,organization,Santé Group,"ACC-002; SEG-002", "Representative existing behavioral-health and crisis-response organization",INT-002,medium,"Existing public staff-wellbeing context supports a comparison case",Complement versus redundancy and current priority
MAP-023,under,organization,Gulf Coast Center,"ACC-003; SEG-002", "Representative existing community behavioral-health and CCBHC-context organization",INT-002,medium,"Existing public workforce-development and employee-wellness context",Current opportunity versus historical RFP context
MAP-024,under,organization,Heritage Behavioral Health Center,"ACC-004; SEG-002", "Representative existing community behavioral-health organization",INT-002,medium,"Existing public workforce-culture and staff-wellness context",Current initiative and organization-level owner
MAP-025,under,organization,SERV Behavioral Health System,"ACC-005; SEG-002", "Representative existing behavioral-health organization with CCBHC context",INT-002,medium,"Existing public workforce-development and retention context",Current need and procurement path
MAP-026,under,organization,NYC Health + Hospitals Behavioral Health,"ACC-006; SEG-001", "Representative public-system behavioral-health service line",INT-002,low,"Useful scale comparator for workforce and retention strategy",Transferability to smaller organizations and procurement complexity
MAP-027,beside,segment,Accountable care organizations and value-based care networks,SEG-001,"Cross-provider coordination structure linking doctors hospitals FQHCs RHCs SNFs home health and other providers",R6-SRC-004,high,"Directly connects multiple care-delivery settings and can change who owns outcomes",Whether workforce wellbeing is a funded or measured priority
MAP-028,beside,segment,Medicaid managed-care organizations,SEG-001,"Contracted payment and delivery structure connecting state agencies providers and beneficiaries",R6-SRC-026,medium,"Potential system-level influence on provider programs and care coordination",Whether a workforce-support program is within their scope
