source_id,source_name,source_type,primary_context,coverage_status,recent_window_signal,historical_window_signal,dominant_narratives,pain_points,terms,evidence_quality,notes
SRC-007-001,Becker's Hospital Review,trade publication,hospitals and health systems,item-sampled,capacity workforce finance AI administration,retention burnout staffing access,workforce capacity and operating pressure,staffing turnover care coordination capacity,workforce capacity retention burnout care coordination,high,Operator-facing channel; item-level sample used for current beat coding.
SRC-007-002,Molly Gamble,editor and journalist,hospital and health-system leadership,item-sampled,workforce leadership safety operations,post-pandemic staffing and leadership redesign,leaders need usable workforce and operating responses,workforce strategy leadership nursing safety,medium,Individual route coded from parent publication; not an endorsement or outreach lead.
SRC-007-003,Healthcare Dive,trade publication,health systems health IT policy value-based care,item-sampled,AI interoperability payer pressure workforce,care-model change and financial constraint,administrative friction and implementation risk,AI workflow interoperability value-based care access,high,Broad business outlet; care-delivery signal is not limited to operators.
SRC-007-004,Fierce Healthcare,trade publication,healthcare business policy hospitals practice management,item-sampled,payer policy workforce technology finance,staff shortages and policy-driven delivery friction,delays and uncertainty for providers,payer policy prior authorization staffing health IT,high,Trade coverage; commercial and editorial routes remain distinct.
SRC-007-005,STAT,news publication,hospitals health tech health business science policy,item-sampled,system pressure workforce access health tech,structural crisis and innovation scrutiny,capacity and trust gaps,health workforce access health tech policy,high,National evidence channel; small-provider stories need strong evidence.
SRC-007-006,KFF Health News,nonprofit newsroom,hospitals clinicians nurses insurers governments consumers,item-sampled,access affordability prior authorization coverage,patient consequences of system fragmentation,patients wait or forgo care,access affordability coverage denials care navigation,high,Independent newsroom; public-interest reporting lens.
SRC-007-007,MedCity News,trade publication,healthcare innovation patient engagement health IT,item-sampled,AI patient engagement value-based care,technology as a capacity and engagement lever,unclear workflow fit and proof of value,AI patient engagement interoperability value-based care,medium,Innovation-heavy channel; claims require evidence.
SRC-007-008,HealthLeaders,trade publication,hospital administration finance clinical leadership,item-sampled,financial pressure workforce leadership technology,executives balancing cost quality and access,limited operating slack and staff capacity,margin workforce quality access leadership,high,Executive audience; not proof of buyer authority.
SRC-007-009,Chief Healthcare Executive,trade publication,hospital leadership and operations,item-sampled,staffing AI patient access organizational performance,care delivery under persistent constraints,leaders lack scalable operating capacity,workforce access AI organizational performance,medium,Leadership framing useful for narrative language.
SRC-007-010,AHA Telling the Hospital Story Workforce Podcasts,association podcast,hospital workforce strategy nursing behavioral health,item-sampled,pipelines workplace violence AI documentation,workforce as long-term system constraint,retention safety pipeline and administrative load,workforce pipeline workplace violence burnout AI documentation,high,Association/member perspective; direct workforce series.
SRC-007-011,AHA Advancing Health Podcast,association podcast,hospital health-system and community care,item-sampled,community care caregivers transitions workforce,care beyond hospital walls and system adaptation,transitions and community capacity,care transitions caregivers community health access,medium,Association content; useful field language rather than independent journalism.
SRC-007-012,Health Affairs,journal and policy publication,health policy cost quality access,item-sampled,workforce access payment delivery reform,structural policy fixes for delivery capacity,misaligned payment and workforce supply,health policy access payment workforce equity,high,Research/policy venue; evidence bar is high.
SRC-007-013,NEJM Catalyst,publication and podcast,care redesign patient engagement organizational leadership,item-sampled,care-model redesign patient engagement AI,operational redesign to sustain care,implementation and change-management burden,care redesign patient engagement implementation leadership,high,Practical evidence channel; not a promotional route.
SRC-007-014,Axios Vitals,newsletter and journalism,healthcare politics policy business,channel-only,health policy workforce funding and access,policy response to post-pandemic system strain,policy volatility changes operating assumptions,Medicaid funding access workforce policy,medium,Author-page lead was retained; current item sample is bounded.
