rank,pain_id,pain_point,recurrence_mentions,cross_contexts,urgency_score,operational_consequence_score,evidence_quality_score,total_score,rank_basis,high_signal_terms
1,PAIN-001,Insufficient workforce capacity restricts care,"39/50",8,15,15,10,93,"Broadest recurring constraint and direct link from staffing to access, service volume, and continuity.","workforce shortage; vacancy; pipeline; capacity; recruitment; retention"
2,PAIN-002,Retention and burnout make the shortage self-reinforcing,"35/50",7,14,15,10,89,"Appears across operators, HR, nursing, behavioral health, and creator narratives; affects quality and continuity as well as hiring.","burnout; turnover; workload; psychological safety; moral injury; wellbeing"
3,PAIN-003,Funding and reimbursement volatility block staffing and service continuity,"30/50",6,14,14,10,86,"Especially acute for FQHCs, rural systems, hospice, and behavioral health; repeatedly tied to hiring and access decisions.","thin margins; grant funding; Medicaid; reimbursement; 340B; sustainability"
4,PAIN-004,Administrative and payer friction consumes scarce care-team time,"28/50",5,14,14,10,84,"Prior authorization, denials, documentation, and reporting are concrete time sinks with patient-delay consequences.","prior authorization; denials; documentation; administrative burden; interoperability"
5,PAIN-005,Demand complexity and crisis acuity outgrow available capacity,"34/50",7,14,13,9,80,"Complex medical, behavioral, social, and aging needs increase intensity while teams and service slots remain constrained.","complexity; crisis care; acuity; waitlist; care gap; access"
6,PAIN-006,Fragmented handoffs shift work and risk across organizations,"23/50",5,12,13,9,77,"CCBHC, integrated care, hospital discharge, home care, and social-service narratives all identify coordination as an operating requirement.","care coordination; transitions; integrated behavioral health; CHW; referral loop"
7,PAIN-007,Worker trauma and safety burden erode reliable care delivery,"21/50",5,12,13,9,76,"Distinct from generic burnout: workplace violence, trauma, moral injury, and emotional load are named by workforce channels and frontline creators.","workplace violence; trauma; moral injury; safety; emotional load"
8,PAIN-008,Rural geography and infrastructure multiply every other constraint,"19/50",4,13,13,9,74,"Closures, travel, broadband, low volume, and pipeline limitations create a compounding access problem.","rural access; closure; broadband; transport; pipeline; local capacity"
9,PAIN-009,Quality and regulatory requirements compete with recruitability and operating slack,"17/50",5,11,12,9,71,"Minimum staffing, reporting, and anti-fraud controls raise legitimate accountability needs while operators flag feasibility and cost.","minimum staffing; quality; compliance; reporting; oversight; fraud"
10,PAIN-010,Technology adoption has uncertain workflow fit and governance,"24/50",5,10,11,8,68,"AI and telehealth are common proposed levers, but integration, trust, data, accountability, and change management remain open.","AI documentation; ambient notes; telehealth; interoperability; governance; trust"
