source_id,source_title,source_url,publisher,source_date,retrieved_date,source_type,observable_fact,caveat
INT-001,Epoch 1 Segment Map,../../growth/SEGMENTS.md,MindfulText Epoch 1,2026-07-13,2026-07-15,internal canonical record,"Defines SEG-001 and its current child segments SEG-002 and SEG-003.",Internal research authority; not fresh external evidence.
INT-002,RUN-005 organization registry,../../run-005/RUN-005-Organization-Registry.md,MindfulText Epoch 1,2026-07-15,2026-07-15,internal prior-run output,"Contains six previously researched representative care-delivery organizations and public-source references.",Prior-run context retained for comparison; not new evidence in RUN-006.
R6-SRC-001,Certified Community Behavioral Health Clinics,https://www.samhsa.gov/communities/certified-community-behavioral-health-clinics,SAMHSA,2023-04-24,2026-07-15,government program page,"CCBHCs provide coordinated comprehensive behavioral-health care and required service categories including crisis care and care coordination.",Category definition does not qualify an individual organization or buyer.
R6-SRC-002,Section 223 Medicaid CCBHC Demonstration and State Programs,https://www.samhsa.gov/communities/certified-community-behavioral-health-clinics/section-223,SAMHSA,2026-04-13,2026-07-15,government program page,"More than 500 CCBHCs operate through grants demonstrations or state programs, with state oversight and prospective payment context.",Counts and program status can change; no purchase-intent inference.
R6-SRC-003,Bureau of Primary Health Care,https://bphc.hrsa.gov/,HRSA,2026-07-14,2026-07-15,government program page,"HRSA funds nearly 1,400 health centers with medical dental behavioral vision and other services.",Aggregate segment context only.
R6-SRC-004,Accountable Care Organizations,https://www.cms.gov/medicare/payment/fee-for-service-providers/shared-savings-program-ssp-acos/about,CMS,2026-03,2026-07-15,government program page,"ACOs bring providers together for coordinated high-quality care and can include FQHCs RHCs hospitals SNFs and home-health agencies.",Participation does not establish a workforce program or buyer.
R6-SRC-005,Medicare Provider Information Centers,https://www.cms.gov/medicare/enrollment-renewal/providers-suppliers/medicare-provider-information-centers,CMS,2026-07-01,2026-07-15,government directory page,"CMS lists provider categories including FQHCs HHAs hospices hospitals opioid treatment programs RHCs and SNFs.",Provider-category listing is not an account qualification.
R6-SRC-006,Home Health Agencies,https://www.cms.gov/medicare/health-safety-standards/certification-compliance/home-health-agencies,CMS,2025-04-22,2026-07-15,government certification page,"HHAs provide skilled nursing and therapeutic services and may be public nonprofit proprietary or hospital subdivisions.",Certification definition does not show organization-level need.
R6-SRC-007,Skilled nursing facility care,https://www.medicare.gov/coverage/skilled-nursing-facility-care,Medicare,2026,2026-07-15,government coverage page,"SNF care includes skilled nursing and therapy in a post-hospital setting.",Coverage description is not workforce or buyer evidence.
R6-SRC-008,Find Healthcare Providers / Care Compare,https://www.medicare.gov/care-compare/,Medicare,2026,2026-07-15,government provider directory,"Medicare provider categories include hospitals nursing homes home health hospice IRFs LTCHs dialysis and community health centers.",Directory availability does not establish current need or fit.
R6-SRC-009,Health Department Directories,https://www.cdc.gov/public-health-gateway/php/communications-resources/health-department-directories.html,CDC,2024-05-15,2026-07-15,government directory page,"CDC connects users to state local territorial health departments tribes and Indian organizations.",Health-department governance varies and may be centralized or decentralized.
R6-SRC-010,About IHS,https://www.ihs.gov/aboutihs/,Indian Health Service,2026,2026-07-15,government agency page,"IHS is the principal federal health-care provider and health advocate for American Indians and Alaska Natives with clinical and public-health offices.",Distinct governance and cultural context require separate qualification.
R6-SRC-011,About Veterans Health Administration,https://department.va.gov/vha/about-us/,U.S. Department of Veterans Affairs,2026-06-02,2026-07-15,government agency page,"VHA operates 1,380 facilities including 170 medical centers and 1,193 outpatient sites and employs a large care workforce.",Scale makes it a comparator rather than a presumed early target.
R6-SRC-012,About the National Council for Mental Wellbeing,https://www.thenationalcouncil.org/about-us/,National Council for Mental Wellbeing,2026,2026-07-15,association page,"National Council represents more than 3,200 mental-health and substance-use treatment organizations and works on provider capacity and workforce.",Association role is not buyer intent.
R6-SRC-013,Membership at the National Council,https://www.thenationalcouncil.org/membership/,National Council for Mental Wellbeing,2026,2026-07-15,association membership page,"Membership includes community organizations hospitals county behavioral-health departments regional boards rehabilitation programs residential providers and child-welfare agencies.",Member categories show adjacency, not access or willingness to sponsor.
R6-SRC-014,What is a Community Health Center?,https://www.nachc.org/community-health-centers/what-is-a-health-center/,NACHC,2026,2026-07-15,association page,"NACHC describes more than 1,500 health-center organizations operating more than 17,000 sites and employing clinicians and staff.",Association and aggregate data do not qualify a particular center.
R6-SRC-015,About the AHA,https://www.aha.org/about,American Hospital Association,2026,2026-07-15,association page,"AHA represents hospitals health-care networks and other providers and serves as a policy and education voice.",Association membership does not establish a route to an individual buyer.
R6-SRC-016,About LeadingAge,https://leadingage.org/about-us/,LeadingAge,2026,2026-07-15,association page,"LeadingAge is a community of nonprofit aging-services providers and mission-driven organizations serving older adults.",Aging-services scope is broader than direct medical care.
R6-SRC-017,About AHCA/NCAL,https://www.ahcancal.org/About/Pages/default.aspx,AHCA/NCAL,2026,2026-07-15,association page,"AHCA/NCAL represents more than 15,000 long-term and post-acute facilities including skilled nursing and assisted living.",Membership scale is not evidence of demand.
R6-SRC-018,About ANA,https://www.nursingworld.org/ana/about-ana/,American Nurses Association,2026,2026-07-15,professional association page,"ANA represents registered nurses and explicitly addresses safe work environments and nurse wellness.",Professional association is not an employer buyer.
R6-SRC-019,About NASW,https://www.socialworkers.org/About,National Association of Social Workers,2026,2026-07-15,professional association page,"NASW supports social-work professional growth standards and policy; its clinical-social-work standards span many care settings.",Association and profession context do not establish member demand.
R6-SRC-020,What is Accreditation?,https://www.jointcommission.org/en-us/accreditation/what-is-accreditation,The Joint Commission,2026,2026-07-15,accreditation body page,"Joint Commission evaluates healthcare organizations against quality and safety standards across the continuum of care.",Accreditation relevance to workforce wellbeing is an open question.
R6-SRC-021,Behavioral Health accreditation,https://carf.org/accreditation/programs/behavioral-health/,CARF International,2026,2026-07-15,accreditation body page,"CARF accredits behavioral-health programs including CCBHCs opioid treatment crisis and integrated primary-care programs.",Accreditation context is not buyer evidence.
R6-SRC-022,About NCQA,https://www.ncqa.org/about-ncqa/,NCQA,2026,2026-07-15,quality organization page,"NCQA measures and accredits health plans providers and practices and uses transparency accountability and quality improvement.",No direct workforce-support connection was established.
R6-SRC-023,Oracle Health EHR,https://www.oracle.com/health/clinical-suite/electronic-health-record/,Oracle Health,2026,2026-07-15,technology vendor page,"Oracle Health positions its EHR as a workflow-integrated system for clinicians and healthcare organizations.",Vendor page describes product capability, not a MindfulText integration need.
R6-SRC-024,National Health Service Corps,https://nhsc.hrsa.gov/,HRSA,2026,2026-07-15,government workforce program page,"NHSC supports primary-care and behavioral-health providers through scholarships and loan repayment and sites them in community care settings.",Workforce pipeline is not a distribution or buying route by itself.
R6-SRC-025,Center of Excellence for Integrated Health Solutions,https://www.thenationalcouncil.org/program/center-of-excellence/about-us/,National Council for Mental Wellbeing / SAMHSA,2026,2026-07-15,technical-assistance program page,"The center supports integration of primary and behavioral health care through training technical assistance and learning collaboratives.",Technical-assistance role is adjacent, not a customer signal.
R6-SRC-026,Medicaid,https://www.medicaid.gov/medicaid,Centers for Medicare & Medicaid Services,2026,2026-07-15,government program page,"Medicaid is jointly funded by federal and state governments and administered by states under federal requirements.",Program scale and payment role do not identify a MindfulText buyer.
R6-SRC-027,HHS Organization,https://www.hhs.gov/about/organization/index.html,HHS,2026-05-07,2026-07-15,government department page,"HHS includes divisions focused on public health medical research coverage food and drug safety and care-support services.",Parent department is too broad for immediate targeting.
R6-SRC-028,AHA Health Systems and Workforce,https://www.aha.org/advocacy/health-systems,American Hospital Association,2026,2026-07-15,association workforce page,"AHA describes health systems as major community employers and highlights workforce and care-coordination challenges.",Public advocacy language is contextual rather than a purchase signal.
R6-SRC-029,CCBHC Improvement and Advancement grant,https://www.samhsa.gov/grants/grant-announcements/sm-26-015,SAMHSA,2026-06-17,2026-07-15,government funding notice,"SAMHSA announced a grant program to sustain and enhance existing CCBHC services, with public funding and eligibility context.",Funding notice is not an invitation to MindfulText or evidence of organizational intent.
