account_id,organization_name,state,segment_id,subsegment,care_delivery_model,directory_status,source_ids,buyer_profile_id,priority_tier,evidence_confidence,last_verified,workforce_or_operating_context,known_unknowns,relationship_note
ACC-001,Centerstone,TN / multi-state,SEG-002,Community behavioral-health providers,nonprofit behavioral-health system,"Current CCBHC status not assessed in this run",SRC-003;SRC-012,BGP-CCBHC-001,qualify-first,medium,2026-07-15,"Historic public workforce-resilience program and first-party executive-role context",Current program status; buyer group; budget; workflow fit; procurement route,"Existing RUN-002 account record retained"
ACC-002,Santé Group,MD,SEG-002,Community behavioral-health providers,nonprofit behavioral-health and crisis-response organization,"CCBHC status not assessed in this run",SRC-004;SRC-014,BGP-CCBHC-001,qualify-first,medium,2026-07-15,"First-party staff-wellbeing; restorative-practice; and executive/operations-role context",Current unmet need; complement versus redundancy; buyer group; procurement route,"Existing RUN-002 account record retained"
ACC-003,Gulf Coast Center,TX,SEG-002,Community behavioral-health providers,community behavioral-health center,"State-certified/demonstration CCBHC and grant listed in January 2024 directory",SRC-002;SRC-005;SRC-013,BGP-CCBHC-001,qualify-first,medium,2026-07-15,"Clinical Academy RFP references employee wellness; leadership development; workforce readiness; first-party executive-team structure",Whether scope includes a low-disruption staff-support gap; buyer group; timing; procurement route,"Existing RUN-002 account record retained"
ACC-004,Heritage Behavioral Health Center,IL,SEG-002,Community behavioral-health providers,community behavioral-health center,"CCBHC grant recipient listed in January 2024 directory; current status needs recheck",SRC-002;SRC-006,BGP-CCBHC-001,qualify-first,medium,2026-07-15,"Public staff-wellness initiative and workforce-culture context",Current initiative; complement versus redundancy; buyer group; procurement route,"Existing RUN-002 account record retained"
ACC-005,SERV Behavioral Health System,NJ,SEG-002,Community behavioral-health providers,nonprofit behavioral-health organization,"CCBHC grant recipient listed in January 2024 directory; current status needs recheck",SRC-002;SRC-007;SRC-015,BGP-CCBHC-001,qualify-first,medium,2026-07-15,"Public workforce-development; CCBHC clinic; and executive-governance context",Current workforce-support need; buyer group; budget; procurement route,"Existing RUN-002 account record retained"
ACC-006,NYC Health + Hospitals Behavioral Health,NY,SEG-001,Public care-delivery systems,public health-system behavioral-health service line,"CCBHC status not assessed in this run",SRC-008,BGP-CCBHC-001,qualify-first,medium,2026-07-15,"Behavioral-health retention is a visible public strategic topic",Transferability to smaller organizations; ownership; public procurement complexity,"Existing RUN-002 account record retained"
ACC-007,Arrowleaf,IL,SEG-002,Community behavioral-health providers,community behavioral-health provider,"CCBHC grant recipient listed in January 2024 directory; current status needs recheck",SRC-002,BGP-CCBHC-001,directory-lead,low,2026-07-15,"Directory-listed organization in Illinois CCBHC grant cohort",Current name; current designation; care model; workforce context; buyer group; official site,"New RUN-005 registry record"
ACC-008,Arukah Institute of Healing,IL,SEG-002,Community behavioral-health providers,community behavioral-health provider,"CCBHC grant recipient listed in January 2024 directory; current status needs recheck",SRC-002,BGP-CCBHC-001,directory-lead,low,2026-07-15,"Directory-listed organization in Illinois CCBHC grant cohort",Current name; current designation; care model; workforce context; buyer group; official site,"New RUN-005 registry record"
ACC-009,Chestnut Health Systems,IL,SEG-002,Community behavioral-health providers,community behavioral-health provider,"CCBHC grant recipient listed in January 2024 directory; current status needs recheck",SRC-002,BGP-CCBHC-001,directory-lead,low,2026-07-15,"Directory-listed organization in Illinois CCBHC grant cohort",Current designation; service footprint; workforce context; buyer group; official site,"New RUN-005 registry record"
ACC-010,Community Resource Center of Illinois,IL,SEG-002,Community behavioral-health providers,community behavioral-health provider,"CCBHC grant recipient listed in January 2024 directory; current status needs recheck",SRC-002,BGP-CCBHC-001,directory-lead,low,2026-07-15,"Directory-listed organization in Illinois CCBHC grant cohort",Current name; current designation; care model; workforce context; buyer group; official site,"New RUN-005 registry record"
ACC-011,ComWell,IL,SEG-002,Community behavioral-health providers,community behavioral-health provider,"CCBHC grant recipient listed in January 2024 directory; current status needs recheck",SRC-002,BGP-CCBHC-001,directory-lead,low,2026-07-15,"Directory-listed organization in Illinois CCBHC grant cohort",Current organization name; designation; service footprint; workforce context; buyer group,"New RUN-005 registry record"
ACC-012,Ecker Center for Mental Health,IL,SEG-002,Community behavioral-health providers,community behavioral-health provider,"CCBHC grant recipient listed in January 2024 directory; current status needs recheck",SRC-002,BGP-CCBHC-001,directory-lead,low,2026-07-15,"Directory-listed organization in Illinois CCBHC grant cohort",Current designation; service footprint; workforce context; buyer group; official site,"New RUN-005 registry record"
ACC-013,Human Resources Development Institute (HRDI),IL,SEG-002,Community behavioral-health providers,community behavioral-health provider,"CCBHC grant recipient listed in January 2024 directory; current status needs recheck",SRC-002,BGP-CCBHC-001,directory-lead,low,2026-07-15,"Directory-listed organization in Illinois CCBHC grant cohort",Current designation; care model; workforce context; buyer group; official site,"New RUN-005 registry record"
ACC-014,Lawrence County Health Department,IL,SEG-002,Community behavioral-health providers,county health department,"CCBHC grant recipient listed in January 2024 directory; current status needs recheck",SRC-002,BGP-CCBHC-001,directory-lead,low,2026-07-15,"Directory-listed organization in Illinois CCBHC grant cohort",Government ownership; current designation; service scope; procurement route; workforce context,"New RUN-005 registry record"
ACC-015,Lutheran Social Services of Illinois,IL,SEG-002,Community behavioral-health providers,community-service and behavioral-health provider,"CCBHC grant recipient listed in January 2024 directory; current status needs recheck",SRC-002,BGP-CCBHC-001,directory-lead,low,2026-07-15,"Directory-listed organization in Illinois CCBHC grant cohort",Current designation; relevant service line; workforce context; buyer group; official site,"New RUN-005 registry record"
