narrative_id,rank,short_name,working_narrative,source_profile_mentions,cross_contexts,format_mix,evidence_level,why_it_recurs,implication_for_mindfultext
NAR-001,1,Workforce capacity is the constraint,"Care organizations cannot reliably add appointments, beds, shifts, or services because recruitment, retention, and pipeline capacity are limiting delivery.",39,"hospital; behavioral health; FQHC; rural; home health; hospice; SNF; nursing", "trade; association; podcast; creator",high,"The same capacity language appears across operator, workforce, policy, and creator channels, but each setting names a different labor bottleneck.","Start with a setting-specific workforce/work-design hypothesis; avoid a generic burnout product narrative."
NAR-002,2,Retention is an operating problem,"Turnover, burnout, emotional load, safety, and weak work design reduce the reliable capacity of already-thin teams.",35,"hospital; behavioral health; FQHC; post-acute; nursing", "trade; HR; podcast; creator",high,"The field increasingly links worker experience to throughput, quality, continuity, and cost rather than treating wellness as a standalone benefit.","Test whether care leaders describe the problem as retention, safety, workload, moral injury, or workflow before selecting language."
NAR-003,3,Funding determines access,"Thin margins, reimbursement pressure, grant uncertainty, Medicaid exposure, and rising labor costs turn staffing and service availability into financial-continuity problems.",30,"FQHC; rural; hospital; hospice; home health; behavioral health", "association; trade; policy; newsroom",high,"Funding is repeatedly discussed as the condition that allows organizations to recruit, retain, expand, and preserve services.","Pair workforce discovery with budget and reimbursement context; do not infer willingness to pay from need."
NAR-004,4,Administrative friction steals care capacity,"Prior authorization, denials, documentation, compliance, and reporting consume scarce clinical and operational time and delay care.",28,"hospital; primary care; behavioral health; FQHC; physician practice", "policy; trade; newsroom; research",high,"Recent material makes administrative burden measurable and connects it to burnout and patient delay; historical material shows it is persistent, not new.","Treat workflow burden as a concrete discovery target; ask which task, role, and handoff is costly."
NAR-005,5,Access is a capacity signal,"Waits, limited appointments, service reductions, hospital and maternity closures, and discharge bottlenecks are public symptoms of constrained delivery capacity.",34,"rural; FQHC; behavioral health; hospital; SNF; home care", "newsroom; policy; trade; association",high,"Access is the patient-facing language that translates staffing, finance, geography, and coordination problems into visible consequences.","Use access outcomes as the bridge between internal workforce pain and mission-level urgency."
NAR-006,6,Care must move across boundaries,"CCBHCs, integrated behavioral health, care transitions, home-based care, community health workers, and social services are framed as responses to fragmented delivery.",23,"behavioral health; FQHC; hospital; home health; rural", "policy; association; journal; podcast",high,"Complex patients and crisis demand expose handoff failures; field narratives increasingly emphasize coordinated, team-based, community delivery.","Narrow to one high-friction handoff or role rather than claiming to fix coordination broadly."
NAR-007,7,Behavioral health is crisis infrastructure,"Behavioral-health organizations are expected to provide low-barrier access, crisis response, integrated services, and continuity despite workforce and payment constraints.",22,"behavioral health; FQHC; hospital; rural", "trade; association; policy; creator",high,"CCBHC expansion and crisis-system conversations make access, coordination, and workforce capacity inseparable.","SEG-002 is the strongest next branch for a care-team/workflow hypothesis, but CCBHC requirements create substantial operational load."
NAR-008,8,Rural delivery is a fragile local system,"Geography, closures, broadband, transport, training pipelines, and low service volume compound workforce and finance problems in rural communities.",19,"rural; FQHC; hospital; home health", "policy; association; newsroom; trade",high,"Rural sources describe a reinforcing loop: service loss drives travel and workforce loss, which further weakens service viability.","A rural hypothesis must name the local role, service, and infrastructure constraint; national messaging is too coarse."
NAR-009,9,Technology is a capacity lever with conditions,"AI documentation, telehealth, interoperability, scheduling, and decision support are presented as ways to extend capacity, but adoption, governance, trust, and workflow fit remain unresolved.",24,"hospital; FQHC; behavioral health; rural; home care", "trade; policy; association; research",medium,"Technology is now a dominant proposed response, but field sources repeatedly qualify it with implementation and accountability concerns.","Research the task-level workflow and adoption burden before treating AI as a solution or category."
NAR-010,10,Quality and accountability are contested,"Minimum staffing, safety, fraud oversight, quality reporting, and payer controls seek accountability but can collide with recruitability and operating reality.",17,"SNF; hospice; home health; hospital; behavioral health", "policy; trade; newsroom; association",high,"Recent regulation makes the tension visible: stakeholders agree on quality goals but disagree on feasible standards and who bears the cost.","Map the tradeoff between compliance work and care capacity; avoid efficacy claims without outcome evidence."
