infl_id,name,source_type,primary_context,geography,audience,reach_signal,care_delivery_relevance,audience_fit,evidence_quality,distribution_signal,next_step_value,total_score,priority,source_id,why_it_matters,unknown_or_caution
INFL-001,Becker's Hospital Review,trade publication,hospitals and health systems,US,hospital CEOs CFOs COOs CMOs CIOs and administrators,high,2,2,2,2,2,10,A,SRC-007-001,Directly reaches hospital and health-system decision makers and visibly covers workforce HR nursing care coordination behavioral and rural topics,Audience composition and openness to nonclinical workforce support are not established
INFL-002,Molly Gamble,editor and journalist,hospital and health-system leadership,US,Becker's editorial audience,high,2,2,2,2,2,10,A,SRC-007-002,Named editor-in-chief/editorial leader at a high-relevance trade publication and a durable journalist route,Current beat ownership and individual availability for a specific topic are unknown
INFL-003,Healthcare Dive,trade publication,health systems health IT policy value-based care and provider-payer partnerships,US,healthcare decision makers,high,2,2,2,2,2,10,A,SRC-007-003,National business journalism spans care delivery operations policy workforce-adjacent issues and health-system strategy,Audience mix is broad and not limited to care-delivery operators
INFL-004,Fierce Healthcare,trade publication,healthcare business policy hospitals practice management and health IT,US,healthcare industry readers and executives,high,2,2,2,2,1,9,A,SRC-007-004,Multi-brand editorial network covers hospitals practice management and health policy with recurring newsletters,Editorial fit for staff wellbeing content versus news and policy is untested
INFL-005,STAT,news publication,hospitals health tech health business science and policy,US,national health and life-science readers,high,2,2,2,2,1,9,A,SRC-007-005,High-credibility journalism reaches health-system and health-policy conversations and supports newsletters podcasts and opinion,May favor nationally significant evidence or policy stories over small-provider content
INFL-006,KFF Health News,nonprofit newsroom,hospitals clinicians nurses insurers governments and consumers,US,national public and policy audience,high,2,2,2,2,1,9,A,SRC-007-006,Reports how the health system works and republishes through partner newsrooms and public radio,Journalistic independence and story standards make paid or promotional access inappropriate
INFL-007,MedCity News,trade publication,healthcare innovation patient engagement health IT and value-based care,US,healthcare insiders innovators investors and industry observers,high,2,2,2,2,1,9,A,SRC-007-007,Useful bridge between care-delivery organizations innovation communities and future content/distribution learning,Innovation and startup emphasis may crowd out workforce-only stories
INFL-008,HealthLeaders,trade publication,hospital and health-system administration finance clinical leadership and technology,US,health-system executives and clinical leaders,high,2,2,2,2,1,9,A,SRC-007-008,Explicitly targets hospital and health-system CEOs finance clinical and technology leaders,Publisher offers sponsored programs so editorial and commercial routes must remain separate
INFL-009,Chief Healthcare Executive,trade publication,hospital and health-system leadership and operations,US,healthcare leaders,high,2,2,2,2,1,9,A,SRC-007-009,Direct fit for staff and patient operations narratives through leadership features analysis and podcasts,Audience and editorial submission criteria need a later check
INFL-010,AHA Telling the Hospital Story Workforce Podcasts,association podcast and content,hospital workforce strategy behavioral health nursing and workplace violence,US,hospital and health-system leaders and workforce stakeholders,high,2,2,2,2,1,9,A,SRC-007-010,Strong topical fit because the series explicitly covers workforce strategies behavioral healthcare and nursing pipelines,Association-owned content may prioritize member stories and policy framing
INFL-011,AHA Advancing Health Podcast,association podcast,hospital health-system and community care,US,hospital leaders frontline staff caregivers and communities,high,2,2,2,1,1,8,B,SRC-007-011,Reaches both executive and frontline audiences and highlights care transitions community resources and caregivers,Not an independent journalist outlet and may require member relevance
INFL-012,Health Affairs,journal and policy publication,health policy cost quality access and health-system delivery,US,government health-industry leaders advocates scholars and policy readers,high,2,2,2,1,1,8,B,SRC-007-012,High-authority policy venue for structural care-delivery and workforce evidence rather than promotional claims,Peer review and policy focus make short product stories a poor fit without strong evidence
INFL-013,NEJM Catalyst,publication and podcast,care redesign patient engagement organizational leadership and care delivery,US,healthcare executives clinical leaders and clinicians,high,2,2,2,1,1,8,B,SRC-007-013,Directly focuses on practical innovations in care delivery and leadership,Requires a rigorous operational or evidence-based angle
INFL-014,Axios Vitals,newsletter and journalism,healthcare politics policy business and system change,US,healthcare and policy professionals,high,2,2,2,1,1,8,B,SRC-007-014,Named health-care newsletter with recurring coverage of hospitals workforce and delivery-system pressure,Current editorial beat and access path need separate verification
INFL-015,Behavioral Health Business,trade publication and podcast,mental health substance use autism IDD eating disorders and behavioral-health business,US,behavioral-health operators and industry professionals,niche-high,2,2,2,2,2,10,A,SRC-007-015,Best direct fit for community behavioral-health organizations and operator-level language,Commercial sponsorship and editorial access are distinct
INFL-016,Laura Lovett / BHB Perspectives,editor journalist and podcast host,behavioral-health providers and business leaders,US,behavioral-health operators and insiders,niche-high,2,2,2,1,2,9,A,SRC-007-016,Named senior editor/host provides an individual journalist route inside the strongest direct trade publication,Beat ownership and willingness to consider workforce-support stories are unknown
